original_label;group_pft;group_ord;group_fam
living_Bacteria_Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
living_Bacteria_Oscillatoriales_Katagnymene_Katagnymene spiralis;Cyanobacteria;Cyanobacteria;Cyanobacteria
living_Eukaryota_Harosa;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Alveolata_Myzozoa_Holodinophyta_Dinophyceae_Gonyaulacales_Ceratiaceae_Neoceratium;Dinoflagellates;Dinoflagellates;Dinoflagellates
living_Eukaryota_Harosa_Alveolata_Myzozoa_Holodinophyta_Dinophyceae_Gonyaulacales_Pyrocystaceae;Dinoflagellates;Dinoflagellates;Dinoflagellates
living_Eukaryota_Harosa_Alveolata_Myzozoa_Holodinophyta_Dinophyceae_Noctilucales_4_Noctilucaceae_Noctiluca;Dinoflagellates;Dinoflagellates;Dinoflagellates
living_Eukaryota_Harosa_Rhizaria_Cercozoa_Thecofilosea_Phaeodaria;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Acantharea;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Foraminifera;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Foraminifera_Globothalamea_Rotaliida_Globigerinacea_Orbulina;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Polycystinea_Spumellaria;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophytina_Bacillariophyceae_Diatoma;Diatoms;Diatoms;Diatoms
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophytina_Mediophyceae_Lauderia;Diatoms;Diatoms;Diatoms
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Bacillariophyta_Coscinodiscophytina_Coscinodiscids_Coscinodiscus;Diatoms;Diatoms;Diatoms
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Alciopidae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Phyllodocidae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Tomopteridae;other_large;other_large;other_large
