original_label;group_pft;group_ord;group_fam
living_Eukaryota_Harosa;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Alveolata_Myzozoa_Holodinophyta_Dinophyceae_Gonyaulacales_Pyrocystaceae;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Cercozoa_Thecofilosea_Phaeodaria;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Foraminifera;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Foraminifera_Globothalamea_Rotaliida_Globigerinacea_Orbulina;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Polycystinea_Spumellaria;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophytina_Bacillariophyceae_Diatoma;Diatoms;Diatoms;Diatoms
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Phaeophyceae_Fucales_Sargassum;detritus;detritus;detritus
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Alciopidae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Tomopteridae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_larvae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_part;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Branchiopoda_Diplostraca_Cladocera_Podonidae_Evadne;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Branchiopoda_Diplostraca_Cladocera_Sididae_Penilia;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Gammaridea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Hyperiidea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Hyperiidea_Oxycephalidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Hyperiidea_Scinidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Senticaudata_Talitridae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Dendrobranchiata_Sergestoidea_Sergestidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Dendrobranchiata_Sergestoidea_Sergestidae_protozoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Achelata_phyllosoma;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura_Galatheidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura_Galatheidae_zoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
