'Katagnymene Katagnymene spiralis'
'Eukaryota Harosa'
'Ceratiaceae Neoceratium'
'Gonyaulacales Pyrocystaceae'
'Noctilucaceae Noctiluca'
'Thecofilosea Phaeodaria'
'Retaria Acantharea'
'Retaria Foraminifera'
'Globigerinacea Orbulina'
'Polycystinea Spumellaria'
'Bacillariophyceae Diatoma'
'Mediophyceae Lauderia'
'Coscinodiscids Coscinodiscus'
'Metazoa Annelida'
'Errantia Alciopidae'
'Errantia Phyllodocidae'
'Errantia Tomopteridae'
'Annelida larvae'
'Annelida part'
'Podonidae Evadne'
'Podonidae Podon'
'Sididae Penilia'
'Malacostraca Eumalacostraca'
'Eumalacostraca Amphipoda'
'Amphipoda Gammaridea'
'Amphipoda Hyperiidea'
'Hyperiidea Oxycephalidae'
'Hyperiidea Phronimidae'
'Hyperiidea Scinidae'
'Eumalacostraca Cumacea'
'Penaeidae protozoea'
'Sergestidae protozoea'
'Galatheidae zoea'
'Brachyura megalopa'
'Brachyura zoea'
'Laomediidae like'
'Euphausiacea calyptopsis'
'Mysida protozoea'
'Squillidae larvae'
'Maxillopoda Copepoda'
'Copepoda Calanoida'
'Calanoida Acartiidae'
'Aetideidae Aetideus'
'Arietellidae Arietellus'
'Augaptilidae Haloptilus'
'Calanoida Calanidae'
'Calanoida Candaciidae'
'Calanoida Centropagidae'
'Isias Isias clavipes'
'Calanoida Eucalanidae'
'Calanoida Euchaetidae'
'Calanoida Heterorhabdidae'
'Calanoida Metridinidae'
'Calocalanus Calocalanus pavo'
'Mecynocera Mecynocera clausi'
'Calanoida Pontellidae'
'Pontellina Pontellina plumata'
'Calanoida Rhincalanidae'
'Calanoida Temoridae'
'Cyclopoida Oithonidae'
'Copepoda Harpacticoida'
'Copepoda Monstrilloida'
'Poecilostomatoida Corycaeidae'
'Lubbockiidae Lubbockia'
'Poecilostomatoida Oncaeidae'
'Poecilostomatoida Sapphirinidae'
'Sapphirinidae Copilia'
'Copepoda badfocus'
'Copepoda dead'
'Copepoda multiple'
'Copepoda part'
'Cirripedia cirrus'
'Cirripedia cypris'
'Cirripedia nauplii'
'Oligostraca Ostracoda'
'Ostracoda empty'
'Crustacea metanauplii'
'Crustacea nauplii'
'Crustacea part'
'Hexapoda Insecta'
'Bryozoa cyphonaute'
'Metazoa Chaetognatha'
'Chaetognatha head'
'Chaetognatha tail'
'Branchiostoma Branchiostoma lanceolatum'
'Gnathostomata Actinopterygii'
'Actinopterygii egg'
'Actinopterygii scale'
'Appendicularia Fritillariidae'
'Appendicularia Oikopleuridae'
'Appendicularia head'
'Appendicularia tail'
'Thaliacea Doliolida'
'Thaliacea Pyrosomatida'
'Thaliacea Salpida'
'Salpidae endostyle'
'Salpidae nucleus'
'Salpida colony'
'Salpida larvae'
'Thaliacea part'
'Metazoa Cnidaria'
'Hexacorallia Actiniaria'
'Cnidaria Hydrozoa'
'Campanulariidae Obelia'
'Hydroidolina Siphonophorae'
'Calycophorae Abylidae'
'Abylopsis Abylopsis tetragona'
'Abylopsis tetragona bract'
'Abylopsis tetragona eudoxie'
'Abylopsis tetragona gonophore'
'Abylopsis tetragona nectophore'
'Bassia bassensis bract'
'Bassia bassensis eudoxie'
'Bassia bassensis gonophore'
'Bassia bassensis nectophore'
'Calycophorae Diphyidae'
'Diphyidae bract'
'Diphyidae eudoxie'
'Diphyidae gonophore'
'Diphyidae nectophore'
'Hippopodiidae nectophore'
'Agalma elegans siphonula'
'Physonectae nectophore'
'Siphonophorae part'
'Solmundella Solmundella bitentaculata'
'Rhopalonematidae Aglaura'
'Rhopalonema Rhopalonema velatum'
'Cnidaria Scyphozoa'
'Scyphozoa ephyra'
'Cnidaria part'
'Metazoa Ctenophora'
'Ctenophora part'
'Metazoa Echinodermata'
'Ophiuroidea pluteus'
'Metazoa Mollusca'
'Mollusca Bivalvia'
'Mollusca Cephalopoda'
'Gastropoda Atlanta'
'Gastropoda Firola'
'Euopisthobranchia Gymnosomata'
'Thecosomata Cavoliniidae'
'Cavolinia Cavolinia inflexa'
'Cavolinia inflexa egg'
'Diacavolinia Diacavolinia angulata'
'Diacria Diacria quadridentata'
'Diacria Diacria trispinosa'
'Thecosomata Cliidae'
'Thecosomata Creseidae'
'Creseis Creseis acicula'
'Creseis Creseis virgula'
'Hyalocylis Hyalocylis striata'
'Styliola Styliola subula'
'Thecosomata Cuvierinidae'
'Thecosomata Cymbulia peroni'
'Thecosomata Limacinidae'
'Mollusca part'
'Metazoa Nemertea'
'other egg'
'other multiple'
'other othertocheck'
'other seaweed'
'temporary t001'
'temporary t002'
'temporary t003'
'temporary t004'
'temporary t005'
'temporary t006'
'temporary t007'
'temporary t009'
'temporary t010'
'temporary t011'
'temporary t012'
'temporary t014'
