'Eukaryota Harosa'
'Thecofilosea Phaeodaria'
'Retaria Foraminifera'
'Globigerinacea Orbulina'
'Polycystinea Spumellaria'
'Fucales Sargassum'
'Metazoa Annelida'
'Errantia Alciopidae'
'Errantia Tomopteridae'
'Annelida larvae'
'Annelida part'
'Podonidae Evadne'
'Sididae Penilia'
'Malacostraca Eumalacostraca'
'Eumalacostraca Amphipoda'
'Amphipoda Gammaridea'
'Amphipoda Hyperiidea'
'Hyperiidea Oxycephalidae'
'Hyperiidea Scinidae'
'Senticaudata Talitridae'
'Eumalacostraca Decapoda'
'Sergestoidea Sergestidae'
'Sergestidae protozoea'
'Achelata phyllosoma'
'Pleocyemata Anomura'
'Anomura Galatheidae'
'Galatheidae zoea'
'Porcellanidae larvae'
'Brachyura megalopa'
'Brachyura zoea'
'Laomediidae like'
'Eumalacostraca Euphausiacea'
'Euphausiacea Euphausia'
'Euphausiacea calyptopsis'
'Eumalacostraca Isopoda'
'Eumalacostraca Mysida'
'Mysida protozoea'
'Squillidae larvae'
'Maxillopoda Copepoda'
'Copepoda Calanoida'
'Calanoida Acartiidae'
'Gaetanus Gaetanus curvicornis'
'Augaptilidae Haloptilus'
'Calanoida Calanidae'
'Calanoida Candaciidae'
'Calanoida Centropagidae'
'Calanoida Eucalanidae'
'Calanoida Euchaetidae'
'Calanoida Heterorhabdidae'
'Calanoida Metridinidae'
'Calanoida Pontellidae'
'Pontellina Pontellina plumata'
'Calanoida Rhincalanidae'
'Calanoida Temoridae'
'Cyclopoida Oithonidae'
'Copepoda Harpacticoida'
'Copepoda Monstrilloida'
'Poecilostomatoida Corycaeidae'
'Poecilostomatoida Oncaeidae'
'Poecilostomatoida Sapphirinidae'
'Sapphirinidae Copilia'
'Copepoda badfocus'
'Copepoda dead'
'Copepoda multiple'
'Copepoda part'
'Thecostraca Cirripedia'
'Cirripedia cirrus'
'Cirripedia cypris'
'Cirripedia nauplii'
'Oligostraca Ostracoda'
'Ostracoda empty'
'Crustacea larvae'
'Crustacea metanauplii'
'Crustacea nauplii'
'Crustacea part'
'Hexapoda Insecta'
'Metazoa Chaetognatha'
'Chaetognatha head'
'Chaetognatha tail'
'Gnathostomata Actinopterygii'
'Actinopterygii egg'
'Actinopterygii scale'
'Appendicularia Fritillariidae'
'Appendicularia Oikopleuridae'
'Appendicularia head'
'Appendicularia tail'
'Thaliacea Doliolida'
'Thaliacea Pyrosomatida'
'Thaliacea Salpida'
'Salpidae endostyle'
'Salpidae nucleus'
'Salpida colony'
'Thaliacea part'
'Metazoa Cnidaria'
'Hexacorallia Actiniaria'
'Cnidaria Hydrozoa'
'Hydrozoa Hydroidolina'
'Hydroidolina Siphonophorae'
'Calycophorae Abylidae'
'Abylopsis Abylopsis tetragona'
'Abylopsis tetragona bract'
'Abylopsis tetragona eudoxie'
'Abylopsis tetragona gonophore'
'Abylopsis tetragona nectophore'
'Bassia Bassia bassensis'
'Bassia bassensis bract'
'Bassia bassensis eudoxie'
'Bassia bassensis gonophore'
'Bassia bassensis nectophore'
'Calycophorae Diphyidae'
'Diphyidae bract'
'Diphyidae eudoxie'
'Diphyidae gonophore'
'Diphyidae nectophore'
'Hippopodiidae nectophore'
'Agalma elegans siphonula'
'Physonectae nectophore'
'Siphonophorae part'
'Solmundella Solmundella bitentaculata'
'Rhopalonematidae Aglaura'
'Rhopalonema Rhopalonema velatum'
'Cnidaria Scyphozoa'
'Cnidaria part'
'Metazoa Ctenophora'
'Ctenophora part'
'Metazoa Echinodermata'
'Echinoidea pluteus'
'Ophiuroidea pluteus'
'Metazoa Mollusca'
'Mollusca Bivalvia'
'Mollusca Cephalopoda'
'Gastropoda Atlanta'
'Gastropoda Firola'
'Euopisthobranchia Gymnosomata'
'Thecosomata Cavoliniidae'
'Thecosomata Cliidae'
'Thecosomata Creseidae'
'Hyalocylis Hyalocylis striata'
'Thecosomata Cuvierinidae'
'Thecosomata Cymbulia peroni'
'Thecosomata Limacinidae'
'Mollusca egg'
'Mollusca part'
'other egg'
'other multiple'
'other othertocheck'
'temporary t001'
'temporary t002'
'temporary t004'
'temporary t005'
'temporary t007'
'temporary t009'
'temporary t010'
'temporary t013'
'temporary t014'
'temporary t015'
