'Eukaryota Harosa'
'Ceratiaceae Neoceratium'
'Gonyaulacales Pyrocystaceae'
'Thecofilosea Phaeodaria'
'Retaria Acantharea'
'Retaria Foraminifera'
'Globigerinacea Orbulina'
'Polycystinea Collodaria'
'Sphaerozoidae Collozoum'
'Polycystinea Spumellaria'
'Mediophyceae Lauderia'
'Coscinodiscids Coscinodiscus'
'Metazoa Annelida'
'Errantia Alciopidae'
'Errantia Tomopteridae'
'Annelida larvae'
'Annelida part'
'Arthropoda Crustacea'
'Podonidae Evadne'
'Podonidae Podon'
'Sididae Penilia'
'Malacostraca Eumalacostraca'
'Eumalacostraca Amphipoda'
'Amphipoda Gammaridea'
'Amphipoda Hyperiidea'
'Hyperiidea Oxycephalidae'
'Hyperiidea Scinidae'
'Penaeidae protozoea'
'Sergestidae protozoea'
'Galatheidae zoea'
'Porcellanidae larvae'
'Brachyura megalopa'
'Brachyura zoea'
'Laomediidae like'
'Euphausiacea calyptopsis'
'Mysida protozoea'
'Squillidae larvae'
'Maxillopoda Copepoda'
'Copepoda Calanoida'
'Calanoida Acartiidae'
'Augaptilidae Haloptilus'
'Calanoida Calanidae'
'Calanoida Candaciidae'
'Calanoida Centropagidae'
'Calanoida Eucalanidae'
'Calanoida Euchaetidae'
'Calanoida Heterorhabdidae'
'Calanoida Metridinidae'
'Metridinidae Metridia'
'Calocalanus Calocalanus pavo'
'Calanoida Pontellidae'
'Pontellidae Pontellina'
'Calanoida Rhincalanidae'
'Calanoida Temoridae'
'Cyclopoida Oithonidae'
'Copepoda Harpacticoida'
'Poecilostomatoida Corycaeidae'
'Poecilostomatoida Oncaeidae'
'Poecilostomatoida Sapphirinidae'
'Sapphirinidae Copilia'
'Copepoda badfocus'
'Copepoda dead'
'Copepoda multiple'
'Copepoda part'
'Cirripedia cirrus'
'Cirripedia cypris'
'Cirripedia nauplii'
'Oligostraca Ostracoda'
'Ostracoda empty'
'Crustacea nauplii'
'Crustacea part'
'Hexapoda Insecta'
'Bryozoa cyphonaute'
'Metazoa Chaetognatha'
'Pterosagitta Pterosagitta draco'
'Aidanosagitta Aidanosagitta regularis'
'Sagittidae Flaccisagitta'
'Flaccisagitta Flaccisagitta enflata'
'Flaccisagitta Flaccisagitta hexaptera'
'Mesosagitta Mesosagitta minima'
'Sagittidae Pseudosagitta'
'Sagittidae Sagitta'
'Serratosagitta Serratosagitta serratodentata'
'Serratosagitta Serratosagitta tasmanica'
'Chaetognatha head'
'Chaetognatha tail'
'Branchiostoma Branchiostoma lanceolatum'
'Gnathostomata Actinopterygii'
'Actinopterygii egg'
'Actinopterygii scale'
'Appendicularia Fritillariidae'
'Appendicularia Oikopleuridae'
'Appendicularia head'
'Appendicularia tail'
'Thaliacea Doliolida'
'Thaliacea Pyrosomatida'
'Thaliacea Salpida'
'Salpidae endostyle'
'Salpidae nucleus'
'Thaliacea part'
'Metazoa Cnidaria'
'Hexacorallia Actiniaria'
'Cnidaria Hydrozoa'
'Bougainvilliidae Bougainvillia'
'Porpitidae larvae'
'Campanulariidae Obelia'
'Calycophorae Abylidae'
'Abylopsis tetragona bract'
'Abylopsis tetragona eudoxie'
'Abylopsis tetragona gonophore'
'Abylopsis tetragona nectophore'
'Bassia Bassia bassensis'
'Bassia bassensis bract'
'Bassia bassensis eudoxie'
'Bassia bassensis gonophore'
'Bassia bassensis nectophore'
'Calycophorae Diphyidae'
'Diphyidae bract'
'Diphyidae eudoxie'
'Diphyidae gonophore'
'Diphyidae nectophore'
'Hippopodiidae nectophore'
'Agalma elegans siphonula'
'Physonectae nectophore'
'Siphonophorae part'
'Solmundella Solmundella bitentaculata'
'Solmundella bitentaculata actinula'
'Rhopalonematidae Aglaura'
'Rhopalonema Rhopalonema velatum'
'Scyphozoa ephyra'
'Cnidaria part'
'Metazoa Ctenophora'
'Ctenophora part'
'Metazoa Echinodermata'
'Echinoidea pluteus'
'Ophiuroidea pluteus'
'Metazoa Mollusca'
'Mollusca Bivalvia'
'Mollusca Cephalopoda'
'Gastropoda Atlanta'
'Gastropoda Firola'
'Euopisthobranchia Gymnosomata'
'Thecosomata Cavoliniidae'
'Cavoliniidae Cavolinia'
'Cavolinia inflexa egg'
'Cavoliniidae Diacavolinia'
'Cavoliniidae Diacria'
'Thecosomata Creseidae'
'Creseis Creseis acicula'
'Creseis Creseis virgula'
'Thecosomata Cymbulia peroni'
'Thecosomata Limacinidae'
'Siphonodentalium Siphonodentalium lobatum'
'Mollusca part'
'other egg'
'other multiple'
'other othertocheck'
'temporary t001'
'temporary t002'
'temporary t003'
'temporary t004'
'temporary t005'
'temporary t006'
'temporary t007'
'temporary t009'
'temporary t010'
'temporary t011'
