"Dataset"	"Station"	"Tara_Sample_ID"	"Depth_layer"	"Fraction_size"	"Latitude"	"Longitude"	"Ab_Zooplankton"	"Ab_Copepoda"	"Ab_Rhizaria"	"Ab_Cnidaria"	"Ab_Tunicata"	"Ab_Eumalacostraca"	"Ab_Pteropoda"	"Ab_Chaetognatha"	"Ab_Other_large"	"Ab_Other_small"	"Ab_Other_unid"	"Ab_Small_grazers"	"Ab_Acartiidae"	"Ab_Aetideidae"	"Ab_Arietellidae"	"Ab_Augaptilidae"	"Ab_Calanidae"	"Ab_Calanoida_unidentified"	"Ab_Candaciidae"	"Ab_Centropagidae"	"Ab_Corycaeidae"	"Ab_Eucalanidae"	"Ab_Euchaetidae"	"Ab_Harpacticoida"	"Ab_Heterorhabdidae"	"Ab_Lubbockiidae"	"Ab_Metridinidae"	"Ab_Monstrilloida"	"Ab_Oithonidae"	"Ab_Oncaeidae"	"Ab_Paracalanidae"	"Ab_Pontellidae"	"Ab_Rhincalanidae"	"Ab_Sapphirinidae"	"Ab_Temoridae"	"Ab_Calanoida"	"Ab_Cyclopoida"	"Ab_Poecilostomatoida"	"Ab_Copepoda_unid"	"Temperature"	"Salinity"	"Oxygen"	"Depth_min_O2"	"MLD"	"Zeu"	"PAR"	"PAR2"	"Kd_PAR"	"beta470_sur"	"bb470_sur"	"bac660_sur"	"Kd490"	"bbp470"	"Chla_10m"	"Chla_integrated"	"DCM"	"NPP"	"Micro"	"Nano"	"Pico"	"Nitrates"	"Phosphates"	"Silicates"	"Iron"	"POC"	"PIC"	"Lyapunov"	"flux200m"	"flux500m"	"flux1000m"	"Distance"
"1"	"wp2"	15	"TARA_A200000203"	"0-100"	200	39.967	13.8176	8.00530897606729	7.6386649166043	1.38033738162859	0.883655592240361	2.45187971807907	1.43742595711884	1.61726103250328	1.71338908137514	1.64605731431584	2.06456023091273	2.20631792705765	2.95602522252236	2.52560355470364	0	0	0	1.43742595711884	6.40858223629642	1.04464392682232	0	3.41681405934312	0.479141985706278	0.479141985706278	0.479141985706278	1.00990163404996	0	1.3993193970731	0	3.51503734210413	2.52560355470364	1.41945624886375	0	0	0.82913443418497	3.28780315458719	6.88119221722456	3.51503734210413	3.83879917602861	1.81104322103931	20.144	37.972	246.08	7.79697450050597	28	3.73251115681725	NA	27.126958	0.078922	NA	NA	NA	0.040079	0.0011082	0.424156006551654	3.79473834556191	3.93182563272433	NA	NA	NA	NA	0.635579894761427	0.361648815426562	1.02457448131624	0.001387889	53.34174652	0.000197455	NA	NA	NA	NA	93.67546821
"2"	"wp2"	16	"TARA_A100000042"	"0-100"	200	37.4355	15.4675	8.36920888727671	8.07936627059212	1.85663553344511	1.54108654416791	1.56185840324904	1.54108654416791	0.531329284591306	2.09081399578968	1.7302542310731	2.09081399578968	2.23203805984183	2.6637120052278	1.22316120069309	0	0	1.11064054147667	1.42604314714241	6.69008707079662	1.11064054147667	0.912580527077393	3.43950461588295	1.06852973014888	1.14977941578897	1.06852973014888	1.25570723564389	0	2.37579843884149	0	3.9354213434249	3.08672785796638	3.21947755884856	0	0	0.66943295008217	2.87525517583845	7.26172498328521	3.9354213434249	4.12912046182547	2.25258961096694	20.65	38.311	210.37	5.50687844638735	33	3.60882608013869	15.317	26.58090375	0.086744	0.000132	0.00105	0.093002	0.044578	0.0015898	0.0872899215258316	3.02652332597208	4.06044301054642	NA	13.42871406	46.25080104	40.32048491	0.434889212990005	0.304918907044456	0.882843761782247	0.001387897	54.50205966	0.000221803	NA	1.159606852	1.158808625	NA	35.52433258
"3"	"wp2"	17	"TARA_A100000125"	"0-100"	200	36.2597	14.3076	6.83334258707187	6.32586994028244	1.77156978211299	1.23200896715799	2.78838727812237	1.16960709528515	1.45021796168576	2.09992441148939	2.15587002336121	1.89267726172085	2.17998372739866	2.04641451385859	1.45021796168576	0	0	0.479141985706278	0	4.70266937544151	1.09972444888627	1.45021796168576	2.61782621783826	0	0.848092608848811	0	0	0	1.62234279734568	0	4.13945646983169	2.66699648698306	2.26500262333869	0	0	0.341995189335339	2.23002902359887	5.18159171529547	4.13945646983169	3.33072017417732	2.00664456708418	20.977	37.884	213.62	5.87713065921074	27	3.8485011312768	19.437	30.841688	0.074452	4.8e-05	0.000468	0.071474	0.037673	0.00092382	0.0632339205161277	2.96148755955658	4.59511985013459	NA	NA	NA	NA	NA	NA	NA	0.001387889	44.17111905	0.000116664	0.048917	0.294479944	NA	NA	55.6597454
"4"	"wp2"	18	"TARA_X000000023"	"0-100"	200	35.7591	14.2565	10.1869177405687	9.7776946541755	1.56594705646755	1.91838115861121	3.33041967614481	0.621446501190772	1.07721734501594	2.50133262285365	2.3645245003809	2.6637120052278	2.76154922475477	2.93411939447847	2.66933760167443	0	0	0.542883523318981	1.09972444888627	8.10603624639885	1.6521856557036	1.07721734501594	3.83222820484773	0	1.15229535251109	0.341995189335339	1.1213461704541	0	1.87482961414672	0	5.36103640759245	4.57201024964361	3.56975693198182	0	0	0.430886938006377	2.11418961961947	8.54244056706706	5.36103640759245	5.33586685185572	2.25913977755725	21.486	38.076	209.01	8.33955091540261	31	3.73251115681725	14.935	25.17139975	0.077287	4.6e-05	0.000449	0.062286	0.035419	0.00086303	0.0648369141139586	2.83350741845916	4.40671924726425	315.859	13.26762813	46.49799248	40.23437939	0.531624303688344	0.268468697910363	0.83188102582939	0.001387895	43.97170289	9.2e-05	0.066158	NA	NA	NA	5
"5"	"wp2"	20	"TARA_A100000741"	"0-100"	200	34.484	14.9083	6.69968068575484	6.32403683772082	2.22935853978708	0.430886938006377	1.85663553344511	0.943538796063307	2.2637023919259	1.46744678424856	1.88707759212661	1.81712059283214	2.23737788416279	1.36798075734136	1.91656794282511	0	0	0	0.341995189335339	4.70025651233172	0.943538796063307	0	3.37724130958926	0.341995189335339	1.25992104989487	0	0	0	2.12531713836522	0	2.81891949282596	3.21786878506537	2.02631880764035	0.861773876012753	0	0	1.08576704663796	5.11264324297814	2.81891949282596	4.15708375494687	2.58930518076073	21.477	38.607	237.74	2.35133468772076	63	3.93649718310217	18.414	26.108534	0.067138	NA	NA	NA	0.033291	0.00099742	0.138891998866619	3.49392392371669	4.53259949315326	NA	NA	NA	NA	NA	NA	NA	0.001387971	40.30224196	0.000138374	0.1358625	NA	NA	NA	173.0728306
"6"	"wp2"	21	"TARA_S200001200"	"0-100"	200	37.5112	17.2821	10.4322470489877	9.86320388183928	3.60164533843748	1.91656794282511	3.07090361627501	1.36798075734136	2.54479265412555	2.35854741598815	2.47712465926034	2.7071597808428	2.73596151468272	2.95945448919656	1.98657677675854	0	0	0.683990378670679	2.20494754289947	8.56208293562384	1.75873186886327	1.36798075734136	2.87807484509155	0	1.39590640938178	0	0.542883523318981	0	1.39590640938178	0	3.98326340257983	3.77789567746874	3.85837833568769	0	0	0.683990378670679	2.20494754289947	8.99720077555218	3.98326340257983	4.27411892059551	4.07524243605121	19.535	38.434	211.01	9.40156907562918	50	3.50339806038672	12.946	22.91148433	0.092094	0.000103	0.000769	0.089498	0.042875	0.0011017	0.10835203659378	2.91806798519749	4.31748811353631	654.913	12.77955338	59.69909966	27.52134696	0.50787530781327	0.0831551749420383	0.941850887635974	0.001388002	59.50739937	0.00010496	0.092095	0.223953763	0.188980853	NA	121.0995347
"7"	"wp2"	22	"TARA_S200001402"	"0-100"	200	39.828	17.4039	7.10158002262258	6.6010252463005	0.838720652652714	1.37330369328893	2.06534196526647	0.760590492152278	1.65340588188993	1.98742105088345	2.46401793431597	2.70761453639996	1.59267484835785	2.68237259262967	1.48276570743149	0	0	0.904504169651028	1.01315940382018	6.23545417329042	1.33326388527168	0.66943295008217	2.62993026556367	0	2.00581640167147	1.21191827410604	0.717905435206832	0	1.58209197869304	0	3.91247375852998	2.40611864690299	1.71452377646268	0	0	0	2.45630750145414	6.56084871529485	3.91247375852998	3.17843573765022	3.76147595593582	17.239	38.012	222.76	5.838272460814	12	3.14138065239139	9.9028	20.25149025	0.12357	0.000344	0.002433	0.16813	0.060868	0.0015308	0.217173767561165	2.93723944036067	3.55534806148941	561.666	24.05776847	54.39957458	21.54265695	0.644530034432969	0.228995830158685	1.24638242960729	0.001387958	77.65626526	0.000289168	0.039292	1.560010314	1.351660365	NA	55.6597454
"8"	"wp2"	23	"TARA_E200001800"	"0-100"	200	42.176	17.7256	5.83856582659817	5.55158086070602	0.809267233456646	0.875034012283327	2.06690366110935	0.310723250595386	1.02280912176967	1.55637334172929	1.48428028019786	1.63864254120129	1.49330348225477	1.85953200543193	0.809267233456646	0	0	0.310723250595386	0.82913443418497	4.87882014834206	1.02280912176967	1.03228011545637	1.30059144685139	0.553965825675446	0.310723250595386	0.809267233456646	0	0	1.95743382058443	0	3.08637796815858	1.81002635208828	1.28664835122374	0	0	0	1.16960709528515	5.07707252744581	3.08637796815858	2.01077517686132	2.21246369119131	16.884	38.38	222.58	5.7889603720624	16	3.20753432999583	7.8062	16.470955	0.10722	0.000196	0.001405	0.10623	NA	NA	0.12094248378411	2.8737369411192	3.71357206670431	468.419	NA	NA	NA	0.752975831471512	0.234124297807353	1.11918813400043	0.001387852	107.9821854	0.000250634	0.039292	3.368323553	NA	NA	83.07865602
"9"	"wp2"	24	"TARA_A100000607"	"0-100"	200	42.4569	17.9521	5.13953636297077	4.81482683903784	1.2744518982084	0.96548938460563	1.59660739481149	0.654213262037718	1.19113842519643	1.32761439426177	1.73690912054343	1.2141835471794	1.87482961414672	1.91928648255806	0.939779637495297	0	0	1.02280912176967	0.464158883361278	4.16939199480989	0.654213262037718	0.883655592240361	1.47972724459828	0	0.85270189832816	0	0.310723250595386	0	1.00990163404996	0	2.86635715665655	1.37330369328893	0.85270189832816	0	0	0.654213262037718	0.838720652652714	4.27903987547076	2.86635715665655	1.82716013686352	1.81002635208828	17.793	38.33	220.09	5.62522632834186	10	3.03658897187566	7.9219	18.03043667	0.1281	0.000271	0.001873	0.14291	0.065746	0.003062	0.137489797791197	2.70016250821469	3.58351893845611	420.545	NA	NA	NA	NA	NA	NA	0.001387889	94.47095998	0.000220143	0	1.597479333	NA	NA	49.5832202
"10"	"wp2"	25	"TARA_A100000617"	"0-100"	200	39.3751	19.4096	6.89082305885667	6.44433731710766	1.48276570743149	0.904504169651028	2.71441761659491	0.531329284591306	1.53686436809526	1.45966590216046	1.74897899626765	1.71225288138586	1.70769293201703	2.79309523181426	0.804145151717812	0	0	2	1.38382750364446	5.6944236013955	0.788373516310524	0.993288388379269	2.29892829718066	0.804145151717812	1.34993140940949	0.804145151717812	0	0	1.82915485475417	0	3.22589663188751	1.70425692085874	1.45495726975829	0	0.310723250595386	0.531329284591306	1.00662270956011	5.9488240031602	3.22589663188751	2.58432381951459	1.69734302366649	18.194	38.359	217.85	5.56129776652123	32	3.33222185164595	10.151	19.4737988	0.10064	0.000103	0.000711	0.086187	0.046502	0.00076994	0.120295432498233	2.72315061382481	3.95124371858143	420.545	NA	NA	NA	0.888696066392538	0.340564230384454	1.12349593242139	0.001387956	67.44083956	9.56e-05	0	0.334140238	0.320518231	NA	51.17670995
