"Dataset"	"Station"	"Tara_Sample_ID"	"Depth_layer"	"Fraction_size"	"Latitude"	"Longitude"	"ESD_Zooplankton"	"ESD_Copepoda"	"ESD_Rhizaria"	"ESD_Cnidaria"	"ESD_Tunicata"	"ESD_Eumalacostraca"	"ESD_Pteropoda"	"ESD_Chaetognatha"	"ESD_Other_large"	"ESD_Other_small"	"ESD_Other_unid"	"ESD_Small_grazers"	"ESD_Acartiidae"	"ESD_Aetideidae"	"ESD_Arietellidae"	"ESD_Augaptilidae"	"ESD_Calanidae"	"ESD_Calanoida_unidentified"	"ESD_Candaciidae"	"ESD_Centropagidae"	"ESD_Corycaeidae"	"ESD_Eucalanidae"	"ESD_Euchaetidae"	"ESD_Harpacticoida"	"ESD_Heterorhabdidae"	"ESD_Lubbockiidae"	"ESD_Metridinidae"	"ESD_Monstrilloida"	"ESD_Oithonidae"	"ESD_Oncaeidae"	"ESD_Paracalanidae"	"ESD_Pontellidae"	"ESD_Rhincalanidae"	"ESD_Sapphirinidae"	"ESD_Temoridae"	"ESD_Calanoida"	"ESD_Cyclopoida"	"ESD_Poecilostomatoida"	"ESD_Copepoda_unid"	"Temperature"	"Salinity"	"Oxygen"	"Depth_min_O2"	"MLD"	"Zeu"	"PAR"	"PAR2"	"Kd_PAR"	"beta470_sur"	"bb470_sur"	"bac660_sur"	"Kd490"	"bbp470"	"Chla_10m"	"Chla_integrated"	"DCM"	"NPP"	"Nitrates"	"Phosphates"	"Silicates"	"Iron"	"Micro"	"Nano"	"Pico"	"POC"	"PIC"	"Lyapunov"	"flux200m"	"flux500m"	"flux1000m"	"Distance"
"1"	"wp2"	15	"TARA_A200000203"	"0-100"	200	39.967	13.8176	6.08645649446355	6.08645649446355	6.2597344160383	7.41498243602584	5.91317862870944	6.14420709312287	5.85541570264471	7.24169574193885	6.14420709312287	5.91317862870944	6.31750758823866	6.14420709312287	6.20196855487573	NA	NA	NA	7.41499447921271	6.4330204753605	7.06842750437104	NA	6.14420709312287	6.4330204753605	7.29945947184026	6.02868807490595	7.01067281298882	NA	6.20196855487573	NA	6.02868807490595	6.08645649446355	6.31750758823866	NA	NA	7.41499447921271	6.72183525546589	6.20196855487573	5.97093015213513	6.02868807490595	6.37526329224308	20.144	37.972	246.08	7.79697450050597	28	3.73251115681725	NA	27.126958	0.078922	NA	NA	NA	0.040079	0.0011082	0.424156006551654	3.79473834556191	3.93182563272433	NA	0.635579894761427	0.361648815426562	1.02457448131624	0.001387889	NA	NA	NA	53.34174652	0.000197455	NA	NA	NA	NA	93.67546821
"2"	"wp2"	16	"TARA_A100000042"	"0-100"	200	37.4355	15.4675	6.02868807490595	6.02868807490595	5.79763705012783	6.4330204753605	5.91317862870944	6.895125862582	6.31750758823866	6.7796036750235	6.31750758823866	6.7796036750235	6.20196855487573	6.14420709312287	6.49078423068777	NA	NA	7.01067281298882	7.29945947184026	6.20196855487573	6.49078423068777	6.66407733269508	6.31750758823866	7.29945947184026	6.895125862582	6.4330204753605	6.60631229128032	NA	6.49078423068777	NA	6.02868807490595	6.02868807490595	6.31750758823866	NA	NA	7.06842750437104	6.49078423068777	6.08645649446355	5.91317862870944	5.97093015213513	6.4330204753605	20.65	38.311	210.37	5.50687844638735	33	3.60882608013869	15.317	26.58090375	0.086744	0.000132	0.00105	0.093002	0.044578	0.0015898	0.0872899215258316	3.02652332597208	4.06044301054642	NA	0.434889212990005	0.304918907044456	0.882843761782247	0.001387897	13.42871406	46.25080104	40.32048491	54.50205966	0.000221803	NA	1.159606852	1.158808625	NA	35.52433258
"3"	"wp2"	17	"TARA_A100000125"	"0-100"	200	36.2597	14.3076	6.02868807490595	6.02868807490595	6.08645649446355	6.2597344160383	6.02868807490595	6.31750758823866	5.79763705012783	6.72183525546589	6.49078423068777	5.91317862870944	6.4330204753605	5.85541570264471	6.2597344160383	NA	NA	7.24172438538523	NA	6.2597344160383	7.01067281298882	6.5485485613789	6.20196855487573	NA	6.66407733269508	NA	NA	NA	6.37526329224308	NA	5.97093015213513	6.02868807490595	6.37526329224308	NA	NA	7.18394658471842	6.49078423068777	6.08645649446355	5.91317862870944	5.97093015213513	6.31750758823866	20.977	37.884	213.62	5.87713065921074	27	3.8485011312768	19.437	30.841688	0.074452	4.8e-05	0.000468	0.071474	0.037673	0.00092382	0.0632339205161277	2.96148755955658	4.59511985013459	NA	NA	NA	NA	0.001387889	NA	NA	NA	44.17111905	0.000116664	0.048917	0.294479944	NA	NA	55.6597454
"4"	"wp2"	18	"TARA_X000000023"	"0-100"	200	35.7591	14.2565	6.02868807490595	6.02868807490595	6.02868807490595	6.66407733269508	5.91317862870944	7.24169574193885	6.20196855487573	6.14420709312287	6.895125862582	6.02868807490595	6.14420709312287	6.14420709312287	6.20196855487573	NA	NA	7.01067281298882	7.01067281298882	6.2597344160383	6.83736500300874	6.37526329224308	6.31750758823866	NA	7.18394658471842	5.97093015213513	6.2597344160383	NA	6.20196855487573	NA	6.08645649446355	5.97093015213513	6.4330204753605	NA	NA	7.41499447921271	6.72183525546589	6.02868807490595	5.97093015213513	5.97093015213513	6.37526329224308	21.486	38.076	209.01	8.33955091540261	31	3.73251115681725	14.935	25.17139975	0.077287	4.6e-05	0.000449	0.062286	0.035419	0.00086303	0.0648369141139586	2.83350741845916	4.40671924726425	315.859	0.531624303688344	0.268468697910363	0.83188102582939	0.001387895	13.26762813	46.49799248	40.23437939	43.97170289	9.2e-05	0.066158	NA	NA	NA	5
"5"	"wp2"	20	"TARA_A100000741"	"0-100"	200	34.484	14.9083	6.02868807490595	6.02868807490595	5.97093015213513	6.49078423068777	5.73988937054948	6.5485485613789	5.79763705012783	6.66407733269508	6.72183525546589	6.2597344160383	6.49078423068777	6.20196855487573	6.37526329224308	NA	NA	NA	7.41499447921271	6.20196855487573	6.895125862582	NA	6.49078423068777	7.01067281298882	7.24172438538523	NA	NA	NA	6.49078423068777	NA	6.08645649446355	6.08645649446355	6.08645649446355	6.72183525546589	NA	NA	6.49078423068777	6.02868807490595	5.91317862870944	6.08645649446355	6.20196855487573	21.477	38.607	237.74	2.35133468772076	63	3.93649718310217	18.414	26.108534	0.067138	NA	NA	NA	0.033291	0.00099742	0.138891998866619	3.49392392371669	4.53259949315326	NA	NA	NA	NA	0.001387971	NA	NA	NA	40.30224196	0.000138374	0.1358625	NA	NA	NA	173.0728306
"6"	"wp2"	21	"TARA_S200001200"	"0-100"	200	37.5112	17.2821	6.08645649446355	6.08645649446355	5.97093015213513	6.5485485613789	5.85541570264471	6.20196855487573	5.79763705012783	6.95288159659825	7.12617569382721	6.20196855487573	6.5485485613789	6.02868807490595	5.85541570264471	NA	NA	7.12616765592045	7.5305336418752	6.31750758823866	6.60631229128032	5.91317862870944	6.4330204753605	NA	7.41499447921271	NA	6.895125862582	NA	6.49078423068777	NA	6.14420709312287	6.02868807490595	6.4330204753605	NA	NA	7.18394658471842	6.5485485613789	6.08645649446355	5.97093015213513	6.02868807490595	6.37526329224308	19.535	38.434	211.01	9.40156907562918	50	3.50339806038672	12.946	22.91148433	0.092094	0.000103	0.000769	0.089498	0.042875	0.0011017	0.10835203659378	2.91806798519749	4.31748811353631	654.913	0.50787530781327	0.0831551749420383	0.941850887635974	0.001388002	12.77955338	59.69909966	27.52134696	59.50739937	0.00010496	0.092095	0.223953763	0.188980853	NA	121.0995347
"7"	"wp2"	22	"TARA_S200001402"	"0-100"	200	39.828	17.4039	6.02868807490595	6.02868807490595	6.02868807490595	6.37526329224308	6.2597344160383	6.5485485613789	5.85541570264471	6.895125862582	6.66407733269508	5.79763705012783	6.14420709312287	6.02868807490595	6.2597344160383	NA	NA	6.895125862582	7.24172438538523	6.31750758823866	7.18394658471842	6.02868807490595	6.14420709312287	NA	7.01067281298882	6.02868807490595	6.95291983093651	NA	6.4330204753605	NA	5.97093015213513	5.91317862870944	6.49078423068777	NA	NA	NA	6.2597344160383	6.02868807490595	5.73988937054948	5.91317862870944	6.02868807490595	17.239	38.012	222.76	5.838272460814	12	3.14138065239139	9.9028	20.25149025	0.12357	0.000344	0.002433	0.16813	0.060868	0.0015308	0.217173767561165	2.93723944036067	3.55534806148941	561.666	0.644530034432969	0.228995830158685	1.24638242960729	0.001387958	24.05776847	54.39957458	21.54265695	77.65626526	0.000289168	0.039292	1.560010314	1.351660365	NA	55.6597454
"8"	"wp2"	23	"TARA_E200001800"	"0-100"	200	42.176	17.7256	5.91317862870944	5.91317862870944	5.91317862870944	6.20196855487573	5.97093015213513	6.66407733269508	5.85541570264471	6.895125862582	6.7796036750235	5.73988937054948	6.20196855487573	6.08645649446355	6.4330204753605	NA	NA	7.01067281298882	6.83736500300874	5.97093015213513	6.4330204753605	6.66407733269508	6.72183525546589	8.05038445306702	6.83736500300874	6.08645649446355	NA	NA	6.37526329224308	NA	5.97093015213513	5.91317862870944	6.20196855487573	NA	NA	NA	6.60631229128032	5.91317862870944	5.73988937054948	5.91317862870944	6.14420709312287	16.884	38.38	222.58	5.7889603720624	16	3.20753432999583	7.8062	16.470955	0.10722	0.000196	0.001405	0.10623	NA	NA	0.12094248378411	2.8737369411192	3.71357206670431	468.419	0.752975831471512	0.234124297807353	1.11918813400043	0.001387852	NA	NA	NA	107.9821854	0.000250634	0.039292	3.368323553	NA	NA	83.07865602
"9"	"wp2"	24	"TARA_A100000607"	"0-100"	200	42.4569	17.9521	5.97093015213513	5.91317862870944	5.79763705012783	6.895125862582	6.02868807490595	6.895125862582	5.73988937054948	6.95288159659825	6.20196855487573	5.73988937054948	6.49078423068777	6.14420709312287	6.37526329224308	NA	NA	6.83736500300874	7.47272812081857	6.02868807490595	6.08645649446355	5.73988937054948	6.20196855487573	NA	7.47272812081857	NA	6.95291983093651	NA	6.31750758823866	NA	5.97093015213513	5.85541570264471	6.31750758823866	NA	NA	6.4330204753605	6.5485485613789	5.97093015213513	5.73988937054948	5.91317862870944	6.2597344160383	17.793	38.33	220.09	5.62522632834186	10	3.03658897187566	7.9219	18.03043667	0.1281	0.000271	0.001873	0.14291	0.065746	0.003062	0.137489797791197	2.70016250821469	3.58351893845611	420.545	NA	NA	NA	0.001387889	NA	NA	NA	94.47095998	0.000220143	0	1.597479333	NA	NA	49.5832202
"10"	"wp2"	25	"TARA_A100000617"	"0-100"	200	39.3751	19.4096	6.02868807490595	6.02868807490595	6.31750758823866	6.95288159659825	5.97093015213513	6.60631229128032	5.85541570264471	6.60631229128032	7.12617569382721	5.97093015213513	6.60631229128032	5.91317862870944	6.14420709312287	NA	NA	6.83736500300874	7.41499447921271	6.08645649446355	6.14420709312287	5.91317862870944	6.31750758823866	6.31750758823866	6.895125862582	5.97093015213513	NA	NA	6.4330204753605	NA	6.08645649446355	6.20196855487573	6.49078423068777	NA	7.29945947184026	7.35723727250708	6.66407733269508	6.02868807490595	5.91317862870944	6.02868807490595	6.37526329224308	18.194	38.359	217.85	5.56129776652123	32	3.33222185164595	10.151	19.4737988	0.10064	0.000103	0.000711	0.086187	0.046502	0.00076994	0.120295432498233	2.72315061382481	3.95124371858143	420.545	0.888696066392538	0.340564230384454	1.12349593242139	0.001387956	NA	NA	NA	67.44083956	9.56e-05	0	0.334140238	0.320518231	NA	51.17670995
