"net"	"Station"	"Latitude"	"Longitude"	"Ab_Zooplankton"	"Ab_Copepoda"	"Ab_Chaetognatha"	"Ab_Gel_carn"	"Ab_Gel_FF"	"Ab_Crust"	"Ab_Pteropoda"	"Ab_Rhizaria"	"Ab_Small_grazers"	"Ab_Copepoda_unid"	"Ab_Calanoida"	"Ab_Cyclopoida"	"Ab_Harpacticoida"	"Ab_Poecilostomatoida"	"Ab_Acartiidae"	"Ab_Augaptilidae"	"Ab_Calanidae"	"Ab_Calanoida_unidentified"	"Ab_Candaciidae"	"Ab_Centropagidae"	"Ab_Corycaeidae"	"Ab_Eucalanidae"	"Ab_Euchaetidae"	"Ab_Harpacticoida.1"	"Ab_Heterorhabdidae"	"Ab_Metridinidae"	"Ab_Oithonidae"	"Ab_Oncaeidae"	"Ab_Paracalanidae"	"Ab_Pontellidae"	"Ab_Rhincalanidae"	"Ab_Sapphirinidae"	"Ab_Temoridae"	"Ab_Aetideidae"	"Ab_Arietellidae"	"Ab_Copepoda_unidentified"	"Ab_Lubbockiidae"	"Ab_Monstrilloida"	"Temperature"	"O2"	"Salinity"	"PAR"	"MLD"	"Chla"	"bbp470"	"Micro"	"Nano"	"Pico"	"PAR2"	"Flux200"	"NO2NO3"	"SiO2"	"PO4"	"PC1"	"PC2"
"1"	"wp2"	15	44.4013	-9.8273	7.89080326996513	7.5588846184419	1.65964960911473	0.928317766722556	2.65631577691786	1.39981290016665	1.67336812923557	1.27179896747805	2.95598707484691	1.81133789953908	6.88119221722456	3.51501036333124	0.485291566633451	3.8388217956536	2.52581256728826	0	1.43765177981483	6.40858223629642	1.04552898593503	0	3.41669984765185	0.485291566633451	0.485291566633451	0.485291566633451	1.00944386597336	1.39981290016665	3.51501036333124	2.52581256728826	1.41897631701785	0	0	0.829827224887778	3.28789566192115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.126958	NA	0.635579894761427	1.02457448131624	0.361648815426562	NA	NA
"2"	"wp2"	16	37.424	15.425	8.33569808444634	8.07701659290527	2.05558264174464	1.81133789953908	1.73036556588011	1.54067941011738	0.913340377992206	2.09103510153098	2.66347708927234	2.25252391673228	7.26172498328521	3.93546438830648	1.06823770233161	4.12912046182547	1.22284920387145	1.11101873306062	1.42525593022994	6.69008707079662	1.11101873306062	0.913340377992206	3.43939190621381	1.06823770233161	1.15073676795132	1.06823770233161	1.25591859858942	2.37579843884149	3.93546438830648	3.08672785796638	3.21950971792757	0	0	0.672954944300681	2.87529549577753	NA	NA	NA	NA	NA	20.65	210.37	38.311	15.317	33	0.450144809362632	-6.85896511481271	13.4287140596289	46.2508010352385	40.3204849051326	26.58090375	1.15960685185185	0.434889212990005	0.882843761782247	0.304918907044456	-0.903486172347851	-2.98774945681634
"3"	"wp2"	17	36.235	14.265	6.80227000337968	6.34207165595127	2.13371873462389	1.37339205978382	2.96465938926145	1.30990462176828	1.35288819244673	2	2.04652594226486	2.00632994476385	5.18159171529547	4.1395148287505	0	3.33078026727757	1.44983747682986	0.485291566633451	0	4.70266937544151	1.10063324420164	1.44983747682986	2.61797213089903	0	0.84787009995526	0	0	1.62192475589329	4.1395148287505	2.66704334956652	2.26493764721704	0	0	0.33647747215034	2.22976087846028	NA	NA	NA	NA	NA	20.977	213.62	37.884	19.437	27	0.40264085961432	-7.66704226204663	NA	NA	NA	30.841688	0.294479944444445	NA	NA	NA	NA	NA
"4"	"wp2"	18	35.655	14.229	10.1474850879704	9.79912528635994	2.72680210734638	2.21735583247336	3.48142540805797	0.617354317723073	1.07862307379144	1.566368335126	2.93392578712757	2.25907446373555	8.54244056706706	5.36103640759245	0.339746061828397	5.33586685185572	2.66933760167443	0.539308671783483	1.10063324420164	8.10603624639885	1.65216123279039	1.07862307379144	3.8321147145108	0	1.15214470597355	0.339746061828397	1.1218231361307	1.87465890091415	5.36103640759245	4.57199430312554	3.56975693198182	0	0	0.428051395697142	2.11426419157888	NA	NA	NA	NA	NA	21.486	209.01	38.076	14.935	31	0.406124497721891	-7.70848767022202	13.2676281270267	46.4979924797655	40.2343793932078	25.17139975	NA	0.531624303688344	0.831881025989949	0.268468697910363	-1.40352338666481	-3.01321042923643
"5"	"wp2"	20	34.392	14.8	6.60416021764052	6.25936728694906	1.71452377646268	0.896280949311433	2.12826487742498	1.13960384306101	2.30709842267527	2.22935853978708	1.36798075734136	2.58930518076073	5.11264324297814	2.81891949282596	0	4.15708375494687	1.91656794282511	0	0.341995189335339	4.70025651233172	0.943538796063307	0	3.37724130958926	0.341995189335339	1.25992104989487	0	0	2.12531713836522	2.81891949282596	3.21786878506537	2.02631880764035	0.861773876012753	0	0	1.08576704663796	NA	NA	NA	NA	NA	21.477	237.74	38.607	18.414	63	0.53014591923809	NA	NA	NA	NA	26.108534	NA	NA	NA	NA	NA	NA
"6"	"wp2"	21	37.459	17.238	10.1899683506647	9.78640346891295	2.32942656902351	1.98657677675854	2.98959357346412	1.66791018308052	2.536530282154	2.98959357346412	2.95945448919656	4.07524243605121	8.99720077555218	3.98326340257983	0	4.27411892059551	1.98657677675854	0.683990378670679	2.20494754289947	8.56208293562384	1.75873186886327	1.36798075734136	2.87807484509155	0	1.39590640938178	0	0.542883523318981	1.39590640938178	3.98326340257983	3.77789567746874	3.85837833568769	0	0	0.683990378670679	2.20494754289947	NA	NA	NA	NA	NA	19.535	211.01	38.434	12.946	50	0.485503780919128	-7.17041958845863	12.7795533782845	59.6990996633849	27.5213469583307	22.9114843333333	0.223953762711864	0.50787530781327	0.941850887635974	0.0831551749420383	-0.981603062912365	-3.55379156412948
"7"	"wp2"	22	39.753	17.37	7.88871325257174	7.54438862028244	2.56941479607593	1.31217361498829	2.44370171803013	1.15868658319561	1.78283057614564	1.05827177740779	2.68218726911156	3.76152307392202	6.56084871529485	3.912451982521	1.21141877609093	3.17846873259201	1.48265957140961	0.904805570596244	1.01218427385886	6.23545417329042	1.33333888886574	0.66666944443287	2.62968927497627	0	2.0061560321927	1.21141877609093	0.718144657295583	1.58249139602349	3.912451982521	2.4058883191701	1.71418352565468	0	0	0	2.45603123247178	NA	NA	NA	NA	NA	17.239	222.76	38.012	9.9028	12	0.623648278666661	-6.01863021518075	24.0577684665088	54.3995745795232	21.542656953968	20.25149025	1.56001031410256	0.644530034432969	1.24638242953577	0.228995832277545	0.650217197659638	-2.86351684420583
"8"	"wp2"	23	42.176	17.644	5.91265437723694	5.64381027841042	1.555919094927	1.24575627561356	2.29577042466555	0.321828722098984	1.16960709528515	1.02175655293377	1.85985006692155	2.21266796260704	5.07707252744581	3.08637796815858	0.810958576572379	2.01104720066148	0.810958576572379	0.321828722098984	0.827516649446104	4.87882014834206	1.02175655293377	1.03228011545637	1.30059144685139	0.5503248769327	0.321828722098984	0.810958576572379	0	1.95743382058443	3.08637796815858	1.8103620451356	1.28731247465186	0	0	0	1.16960709528515	NA	NA	NA	NA	NA	16.884	222.58	38.38	7.8062	16	0.504702304693398	-6.56771797619643	NA	NA	NA	16.470955	3.36832355319149	0.75297583127554	1.11918813400043	0.234124299834403	NA	NA
"9"	"wp2"	24	42.412	17.863	5.091631669139	4.84781493664123	1.30869905616498	0.976460227049583	1.58282408984737	0.650972902034943	1.23782309694381	1.19106793946189	1.91919598859392	1.81012809040292	4.27894884949963	2.86643829681276	0	1.82749954618683	0.938869169795941	1.0224903903306	0.469436475659878	4.16944951874024	0.650972902034943	0.883510426895924	1.47994034334652	0	0.853018105952093	0	0.32548802420618	1.01137022792795	2.86643829681276	1.37263173597807	0.853018105952093	0	0	0.650972902034943	0.836920888727671	NA	NA	NA	NA	NA	17.793	220.09	38.33	7.9219	10	0.528229526012156	-6.28021385552019	NA	NA	NA	18.0304366666667	1.59747933333333	NA	NA	NA	NA	NA
"10"	"wp2"	25	39.35	19.352	6.8595864143894	6.43742718364238	1.50142087587175	1.11457194988422	2.74470606881676	0.940070162259514	1.53697726076603	1.62710339060707	2.79288157808193	1.69760909572189	5.9488240031602	3.22586460002708	0.80572969855618	2.58442363504208	0.80572969855618	2	1.38316573508644	5.6944236013955	0.789610447261897	0.994846823722169	2.29918055244106	0.80572969855618	1.35020572996356	0.80572969855618	0	1.82946364685122	3.22586460002708	1.70469291545822	1.45446897088367	0	0.313355840644675	0.535836755068996	1.00510720538184	NA	NA	NA	NA	NA	18.194	217.85	38.359	10.151	32	0.503745210092646	-7.24883812816103	NA	NA	NA	19.4737988	0.334140238410596	0.888696066392538	1.12349593242139	0.340564230384454	NA	NA
