"station"	"group"	"n"
"1"	"15"	"Copepoda"	1331
"2"	"16"	"Copepoda"	1077
"3"	"17"	"Copepoda"	440
"4"	"18"	"Copepoda"	930
"5"	"20"	"Copepoda"	366
"6"	"21"	"Copepoda"	538
"7"	"22"	"Copepoda"	1485
"8"	"23"	"Copepoda"	368
"9"	"24"	"Copepoda"	912
"10"	"25"	"Copepoda"	800
"11"	"26"	"Copepoda"	1320
"12"	"30"	"Copepoda"	396
"13"	"31"	"Copepoda"	375
"14"	"32"	"Copepoda"	683
"15"	"33"	"Copepoda"	1044
"16"	"34"	"Copepoda"	471
"17"	"36"	"Copepoda"	842
"18"	"38"	"Copepoda"	811
"19"	"39"	"Copepoda"	954
"20"	"40"	"Copepoda"	803
"21"	"41"	"Copepoda"	554
"22"	"42"	"Copepoda"	529
"23"	"43"	"Copepoda"	85
"24"	"44"	"Copepoda"	1025
"25"	"45"	"Copepoda"	1338
"26"	"46"	"Copepoda"	797
"27"	"51"	"Copepoda"	908
"28"	"52"	"Copepoda"	1137
"29"	"53"	"Copepoda"	956
"30"	"58"	"Copepoda"	2109
"31"	"64"	"Copepoda"	524
"32"	"65"	"Copepoda"	2330
"33"	"66"	"Copepoda"	1170
"34"	"67"	"Copepoda"	910
"35"	"68"	"Copepoda"	2008
"36"	"70"	"Copepoda"	1210
"37"	"71"	"Copepoda"	1352
"38"	"72"	"Copepoda"	1359
"39"	"73"	"Copepoda"	1475
"40"	"74"	"Copepoda"	1380
"41"	"75"	"Copepoda"	1463
"42"	"76"	"Copepoda"	1197
"43"	"77"	"Copepoda"	1216
"44"	"78"	"Copepoda"	554
"45"	"79"	"Copepoda"	2806
"46"	"80"	"Copepoda"	1301
"47"	"81"	"Copepoda"	1236
"48"	"82"	"Copepoda"	1095
"49"	"83"	"Copepoda"	1109
"50"	"84"	"Copepoda"	1946
"51"	"85"	"Copepoda"	90
"52"	"86"	"Copepoda"	211
"53"	"87"	"Copepoda"	155
"54"	"89"	"Copepoda"	1012
"55"	"90"	"Copepoda"	1473
"56"	"91"	"Copepoda"	412
"57"	"92"	"Copepoda"	609
"58"	"94"	"Copepoda"	595
"59"	"95"	"Copepoda"	1443
"60"	"96"	"Copepoda"	452
"61"	"97"	"Copepoda"	512
"62"	"98"	"Copepoda"	505
"63"	"99"	"Copepoda"	638
"64"	"100"	"Copepoda"	802
"65"	"102"	"Copepoda"	1160
"66"	"106"	"Copepoda"	759
"67"	"109"	"Copepoda"	722
"68"	"110"	"Copepoda"	719
"69"	"111"	"Copepoda"	435
"70"	"112"	"Copepoda"	457
"71"	"113"	"Copepoda"	725
"72"	"122"	"Copepoda"	339
"73"	"123"	"Copepoda"	554
"74"	"125"	"Copepoda"	664
"75"	"126"	"Copepoda"	1017
"76"	"128"	"Copepoda"	852
"77"	"129"	"Copepoda"	1363
"78"	"130"	"Copepoda"	219
"79"	"131"	"Copepoda"	276
"80"	"132"	"Copepoda"	1125
"81"	"133"	"Copepoda"	722
"82"	"134"	"Copepoda"	501
"83"	"135"	"Copepoda"	376
"84"	"136"	"Copepoda"	318
"85"	"137"	"Copepoda"	463
"86"	"138"	"Copepoda"	607
"87"	"139"	"Copepoda"	465
"88"	"140"	"Copepoda"	347
"89"	"141"	"Copepoda"	280
"90"	"142"	"Copepoda"	437
"91"	"143"	"Copepoda"	516
"92"	"144"	"Copepoda"	456
"93"	"145"	"Copepoda"	289
"94"	"147"	"Copepoda"	529
"95"	"148"	"Copepoda"	978
"96"	"149"	"Copepoda"	291
"97"	"150"	"Copepoda"	921
"98"	"151"	"Copepoda"	680
"99"	"152"	"Copepoda"	556
"100"	"153"	"Copepoda"	615
"101"	"155"	"Copepoda"	1026
"102"	"157"	"Copepoda"	2060
"103"	"158"	"Copepoda"	1164
"104"	"159"	"Copepoda"	772
"105"	"160"	"Copepoda"	1225
"106"	"161"	"Copepoda"	1251
"107"	"162"	"Copepoda"	1348
"108"	"163"	"Copepoda"	1046
"109"	"167"	"Copepoda"	768
"110"	"168"	"Copepoda"	1218
"111"	"169"	"Copepoda"	855
"112"	"170"	"Copepoda"	1455
"113"	"171"	"Copepoda"	2144
"114"	"172"	"Copepoda"	1636
"115"	"173"	"Copepoda"	753
"116"	"174"	"Copepoda"	1046
"117"	"175"	"Copepoda"	1789
"118"	"176"	"Copepoda"	1597
"119"	"177"	"Copepoda"	974
"120"	"178"	"Copepoda"	867
"121"	"179"	"Copepoda"	904
"122"	"180"	"Copepoda"	357
"123"	"181"	"Copepoda"	1174
"124"	"182"	"Copepoda"	764
"125"	"183"	"Copepoda"	1359
"126"	"184"	"Copepoda"	1008
"127"	"185"	"Copepoda"	944
"128"	"186"	"Copepoda"	1141
"129"	"187"	"Copepoda"	1433
"130"	"188"	"Copepoda"	873
"131"	"189"	"Copepoda"	799
"132"	"190"	"Copepoda"	908
"133"	"191"	"Copepoda"	714
"134"	"192"	"Copepoda"	378
"135"	"193"	"Copepoda"	355
"136"	"194"	"Copepoda"	1173
"137"	"195"	"Copepoda"	718
"138"	"196"	"Copepoda"	785
"139"	"197"	"Copepoda"	943
"140"	"198"	"Copepoda"	1246
"141"	"199"	"Copepoda"	946
"142"	"200"	"Copepoda"	579
"143"	"201"	"Copepoda"	737
"144"	"202"	"Copepoda"	584
"145"	"203"	"Copepoda"	534
"146"	"204"	"Copepoda"	489
"147"	"205"	"Copepoda"	839
"148"	"206"	"Copepoda"	1194
"149"	"207"	"Copepoda"	1573
"150"	"208"	"Copepoda"	1411
"151"	"209"	"Copepoda"	1389
"152"	"210"	"Copepoda"	1460
"153"	"15"	"Chaetognatha"	37
"154"	"16"	"Chaetognatha"	42
"155"	"17"	"Chaetognatha"	90
"156"	"18"	"Chaetognatha"	114
"157"	"20"	"Chaetognatha"	21
"158"	"21"	"Chaetognatha"	49
"159"	"22"	"Chaetognatha"	171
"160"	"23"	"Chaetognatha"	38
"161"	"24"	"Chaetognatha"	56
"162"	"25"	"Chaetognatha"	50
"163"	"26"	"Chaetognatha"	52
"164"	"30"	"Chaetognatha"	19
"165"	"31"	"Chaetognatha"	62
"166"	"32"	"Chaetognatha"	77
"167"	"33"	"Chaetognatha"	18
"168"	"34"	"Chaetognatha"	47
"169"	"36"	"Chaetognatha"	28
"170"	"38"	"Chaetognatha"	18
"171"	"39"	"Chaetognatha"	10
"172"	"40"	"Chaetognatha"	19
"173"	"41"	"Chaetognatha"	38
"174"	"42"	"Chaetognatha"	78
"175"	"43"	"Chaetognatha"	1
"176"	"44"	"Chaetognatha"	66
"177"	"45"	"Chaetognatha"	168
"178"	"46"	"Chaetognatha"	137
"179"	"51"	"Chaetognatha"	176
"180"	"52"	"Chaetognatha"	210
"181"	"53"	"Chaetognatha"	100
"182"	"58"	"Chaetognatha"	60
"183"	"64"	"Chaetognatha"	153
"184"	"65"	"Chaetognatha"	185
"185"	"66"	"Chaetognatha"	121
"186"	"67"	"Chaetognatha"	25
"187"	"68"	"Chaetognatha"	102
"188"	"70"	"Chaetognatha"	133
"189"	"71"	"Chaetognatha"	176
"190"	"72"	"Chaetognatha"	53
"191"	"73"	"Chaetognatha"	66
"192"	"74"	"Chaetognatha"	49
"193"	"75"	"Chaetognatha"	60
"194"	"76"	"Chaetognatha"	204
"195"	"77"	"Chaetognatha"	127
"196"	"78"	"Chaetognatha"	146
"197"	"79"	"Chaetognatha"	92
"198"	"80"	"Chaetognatha"	171
"199"	"81"	"Chaetognatha"	222
"200"	"82"	"Chaetognatha"	11
"201"	"83"	"Chaetognatha"	4
"202"	"84"	"Chaetognatha"	4
"203"	"85"	"Chaetognatha"	1
"204"	"86"	"Chaetognatha"	9
"205"	"87"	"Chaetognatha"	0
"206"	"89"	"Chaetognatha"	3
"207"	"90"	"Chaetognatha"	79
"208"	"91"	"Chaetognatha"	8
"209"	"92"	"Chaetognatha"	5
"210"	"94"	"Chaetognatha"	71
"211"	"95"	"Chaetognatha"	18
"212"	"96"	"Chaetognatha"	34
"213"	"97"	"Chaetognatha"	33
"214"	"98"	"Chaetognatha"	57
"215"	"99"	"Chaetognatha"	89
"216"	"100"	"Chaetognatha"	106
"217"	"102"	"Chaetognatha"	64
"218"	"106"	"Chaetognatha"	33
"219"	"109"	"Chaetognatha"	51
"220"	"110"	"Chaetognatha"	17
"221"	"111"	"Chaetognatha"	134
"222"	"112"	"Chaetognatha"	21
"223"	"113"	"Chaetognatha"	70
"224"	"122"	"Chaetognatha"	66
"225"	"123"	"Chaetognatha"	12
"226"	"125"	"Chaetognatha"	42
"227"	"126"	"Chaetognatha"	205
"228"	"128"	"Chaetognatha"	24
"229"	"129"	"Chaetognatha"	208
"230"	"130"	"Chaetognatha"	36
"231"	"131"	"Chaetognatha"	19
"232"	"132"	"Chaetognatha"	89
"233"	"133"	"Chaetognatha"	30
"234"	"134"	"Chaetognatha"	6
"235"	"135"	"Chaetognatha"	17
"236"	"136"	"Chaetognatha"	36
"237"	"137"	"Chaetognatha"	36
"238"	"138"	"Chaetognatha"	52
"239"	"139"	"Chaetognatha"	47
"240"	"140"	"Chaetognatha"	57
"241"	"141"	"Chaetognatha"	39
"242"	"142"	"Chaetognatha"	46
"243"	"143"	"Chaetognatha"	17
"244"	"144"	"Chaetognatha"	64
"245"	"145"	"Chaetognatha"	256
"246"	"147"	"Chaetognatha"	112
"247"	"148"	"Chaetognatha"	114
"248"	"149"	"Chaetognatha"	50
"249"	"150"	"Chaetognatha"	30
"250"	"151"	"Chaetognatha"	48
"251"	"152"	"Chaetognatha"	0
"252"	"153"	"Chaetognatha"	0
"253"	"155"	"Chaetognatha"	8
"254"	"157"	"Chaetognatha"	24
"255"	"158"	"Chaetognatha"	71
"256"	"159"	"Chaetognatha"	124
"257"	"160"	"Chaetognatha"	94
"258"	"161"	"Chaetognatha"	37
"259"	"162"	"Chaetognatha"	66
"260"	"163"	"Chaetognatha"	25
"261"	"167"	"Chaetognatha"	138
"262"	"168"	"Chaetognatha"	191
"263"	"169"	"Chaetognatha"	135
"264"	"170"	"Chaetognatha"	14
"265"	"171"	"Chaetognatha"	40
"266"	"172"	"Chaetognatha"	5
"267"	"173"	"Chaetognatha"	9
"268"	"174"	"Chaetognatha"	13
"269"	"175"	"Chaetognatha"	14
"270"	"176"	"Chaetognatha"	6
"271"	"177"	"Chaetognatha"	1
"272"	"178"	"Chaetognatha"	2
"273"	"179"	"Chaetognatha"	26
"274"	"180"	"Chaetognatha"	137
"275"	"181"	"Chaetognatha"	30
"276"	"182"	"Chaetognatha"	21
"277"	"183"	"Chaetognatha"	4
"278"	"184"	"Chaetognatha"	5
"279"	"185"	"Chaetognatha"	2
"280"	"186"	"Chaetognatha"	8
"281"	"187"	"Chaetognatha"	4
"282"	"188"	"Chaetognatha"	4
"283"	"189"	"Chaetognatha"	21
"284"	"190"	"Chaetognatha"	5
"285"	"191"	"Chaetognatha"	16
"286"	"192"	"Chaetognatha"	5
"287"	"193"	"Chaetognatha"	57
"288"	"194"	"Chaetognatha"	45
"289"	"195"	"Chaetognatha"	14
"290"	"196"	"Chaetognatha"	39
"291"	"197"	"Chaetognatha"	12
"292"	"198"	"Chaetognatha"	14
"293"	"199"	"Chaetognatha"	13
"294"	"200"	"Chaetognatha"	27
"295"	"201"	"Chaetognatha"	28
"296"	"202"	"Chaetognatha"	55
"297"	"203"	"Chaetognatha"	59
"298"	"204"	"Chaetognatha"	59
"299"	"205"	"Chaetognatha"	26
"300"	"206"	"Chaetognatha"	13
"301"	"207"	"Chaetognatha"	5
"302"	"208"	"Chaetognatha"	8
"303"	"209"	"Chaetognatha"	0
"304"	"210"	"Chaetognatha"	26
